<bound method DiceLoss.__name__ of DiceLoss()>,iou_score
0.5636515816052755,0.16875175221098793
0.5085731148719788,0.41906347539689803
0.4849261972639296,0.535766084988912
0.4708225859536065,0.5747028655476041
0.4569471809599135,0.5934425592422485
0.4458412329355876,0.6097692648569742
0.43169207705391777,0.6342426737149557
0.4246480729844835,0.6268482340706719
0.4136713809437222,0.6416033506393433
0.40815264648861355,0.6376328931914436
0.3979039920700921,0.6431790722741021
0.3898585836092631,0.6444603800773621
0.37598411904440987,0.6646562682257758
0.36928989489873243,0.6675502525435554
0.3600043124622769,0.6751466128561232
0.351847767829895,0.6710339188575745
0.3457263112068176,0.6816694802708096
0.34007848633660215,0.6790430082215203
0.328810195128123,0.6987840996848212
0.3211737871170044,0.6993108524216546
0.31159092320336235,0.7030313544803196
0.30277787314520943,0.7028774817784628
0.29587500625186497,0.7175745301776462
0.2886090013715956,0.7408936089939542
0.28065889411502415,0.7362379233042399
0.27597179677751327,0.7546431356006198
0.27035464843114215,0.7555696765581766
0.2639808456103007,0.7684024373690287
0.2589705652660794,0.7842647234598795
0.2551436358027988,0.7818923128975762
0.24657690525054932,0.7920248574680753
0.24576522244347465,0.8025293350219727
0.24138640032874215,0.8001786602867974
0.23662379052903917,0.7895569139056735
0.23022201988432142,0.8072579767968919
0.22532830635706583,0.8112442096074423
0.22148966126971775,0.8151122662756178
0.2177620530128479,0.8152248726950752
0.2176029086112976,0.8122724095980326
0.21348288986417982,0.8193624085850186
0.21297097868389553,0.8146122627788119
0.20828604698181152,0.8198463320732117
0.21118492550320095,0.8064076701800028
0.20430931117799547,0.8290602101220025
0.20044483741124472,0.8163312872250875
0.1951470110151503,0.8315432469050089
0.1929729448424445,0.8314996295505099
0.1880596081415812,0.8365703490045335
0.1889768573972914,0.8393146991729737
0.18688966168297663,0.8269631796412997
0.18378778960969713,0.8276863296826681
0.18012142843670315,0.826504303349389
0.17656351460350883,0.8348658747143216
0.17472591002782187,0.840003682507409
0.17634256018532646,0.8245918353398641
0.17239644792344835,0.8313664529058667
0.16997190316518151,0.8419995440377129
0.17121244801415336,0.8369359638955858
0.1658760772811042,0.8388250668843588
0.16697822014490762,0.8234506845474243
0.16616501410802206,0.822378502951728
0.1604988972345988,0.8289810683992174
0.15457640753851998,0.8414772152900696
0.1564079589313931,0.8328977558347914
0.152800891134474,0.834716432624393
0.15554429425133598,0.8297797706392076
0.14849598540200126,0.8412268625365362
0.15138905578189427,0.8333037495613098
0.15205205811394584,0.8312050369050767
0.15127600563897026,0.8233147793345981
0.14037797848383585,0.8414102262920804
0.1366540657149421,0.8448176119062636
0.14010104868147108,0.8400646050771078
0.13432733880148992,0.852651317914327
0.13394621345731947,0.8483365376790365
0.13654357194900513,0.8501256969239976
0.1292888787057665,0.8568527168697782
0.1311659283108181,0.8546501066949632
0.12619458966785008,0.8605821066432529
0.12224822574191624,0.8675227562586467
0.12725009520848593,0.8536273572180005
0.12453574604458278,0.8531892167197334
0.11852626668082342,0.860657619105445
0.11874203549491034,0.8627588219112821
0.11839226219389173,0.8639140526453654
0.11177286174562243,0.8719006445672776
0.11894513501061334,0.8621377746264139
0.11215623882081774,0.8679606782065498
0.11318655146492852,0.8664904965294732
0.11505469348695543,0.868232892619239
0.11652237839168972,0.8603035807609558
0.11651528543896145,0.8565155598852369
0.10962028635872735,0.8660947349336412
0.10734538237253825,0.8702680733468797
0.10480736361609565,0.8801828357908461
0.11464479896757336,0.8583118319511414
0.1116979784435696,0.85668502913581
0.11373720566431682,0.8507809771431817
0.10496720340516832,0.8712810410393609
0.10396590497758654,0.8706294430626763
