<bound method CustomLoss1.__name__ of CustomLoss1()>,iou_score
0.4818003276983897,0.2753707584407594
0.44060150782267254,0.40228504604763454
0.4190076424015893,0.4921175605720944
0.39706775214936996,0.5770102275742425
0.38003084394666886,0.6346083349651761
0.3661617603566911,0.6753804551230537
0.3589817020628187,0.7052399184968735
0.3472541769345601,0.7275501290957133
0.34081282549434244,0.7444102962811787
0.33362142907248604,0.7654123571183945
0.3279654350545671,0.7783237563239204
0.32771460546387565,0.7808958623144362
0.32141467597749496,0.7818999422921075
0.31680047180917525,0.788260837395986
0.31179502606391907,0.8052030536863539
0.308017330037223,0.8046115967962477
0.3027595844533708,0.8113693992296855
0.3007601863808102,0.8042959372202555
0.2994091808795929,0.8078212406900193
0.29342957999971175,0.8159911698765225
0.2908264597256978,0.8198800683021545
0.28681806723276776,0.8228309485647414
0.2875226272477044,0.8134173618422615
0.2816098795996772,0.8188766837120056
0.27687369452582467,0.8312417467435201
0.27249839239650303,0.8378792802492777
0.2714121010568407,0.8361510634422303
0.26897236373689437,0.8269513116942512
0.26255574491288924,0.8362425234582689
0.25924320353402036,0.8408257365226744
0.2596507734722561,0.8298436337047153
0.2598284466399086,0.8189581698841519
0.2524731043312285,0.8352583779229058
0.2500368720955319,0.836105035410987
0.2480792138311598,0.8345664143562317
0.24405222800042894,0.8414269354608324
0.24359650247626835,0.8407316737704806
0.24026925530698565,0.8442245191997952
0.23966541720761192,0.8355666200319926
0.23077288435565102,0.8603687749968636
0.2291783226860894,0.8579349716504414
0.22943564587169224,0.8496443298127916
0.23019756211174858,0.8434503542052375
0.22588835822211373,0.8504256672329373
0.2269130034579171,0.8441544506284927
0.22242789467175803,0.8530906571282281
0.22104760673311022,0.856442564063602
0.22914490434858534,0.8377225067880419
0.2200002239810096,0.858153522014618
0.22169321444299483,0.8437953723801507
0.22057258089383444,0.842935151524014
0.21764545804924434,0.8499043186505637
0.21906643940342796,0.8422648178206549
0.21432747774653965,0.8518124885029263
0.21096132695674896,0.8586560156610276
0.2113236900832918,0.8588096433215671
0.21078995863596597,0.8570442795753479
0.20909620987044442,0.8586429291301303
0.21127070155408648,0.8555715481440226
0.2082339045074251,0.8554879890547857
0.20757795042461819,0.8602729307280647
0.20925315221150717,0.8514322572284274
0.20514035721619922,0.8581976758109199
0.2027546895874871,0.8645046419567533
0.20526440110471514,0.8595061169730293
0.2042817407184177,0.8548826111687554
0.20443571110566458,0.8568208879894681
0.20198359257645077,0.8631594313515556
0.20385015838676027,0.8563818600442674
0.20630284316009945,0.8494629263877868
0.20158531268437704,0.8576325906647576
0.2028602676259147,0.8538166085879008
0.20258173015382558,0.8531696730189853
0.19668040341801113,0.8667776054806179
0.1976965202225579,0.8625829352272881
0.20241259866290623,0.8563850588268704
0.1972869816753599,0.8648175729645623
0.19415196610821617,0.8694174819522433
0.1954393353727129,0.8679354058371651
0.19589354263411626,0.8630370762613084
