<bound method TverskyLoss.__name__ of TverskyLoss()>,iou_score
0.41593629121780396,0.6415356927447848
0.4087184535132514,0.6955590777926974
0.40208139022191364,0.7406612899568346
0.399065375328064,0.7449185649553935
0.39564844634797836,0.763733638657464
0.3926202522383796,0.7748972641097175
0.3905436595280965,0.7796711656782362
0.38981166150834823,0.7735104693306817
0.3882017731666565,0.7728468709521823
0.38668116596009994,0.7835715942912632
0.3845626049571567,0.7984403835402595
0.3838234013981289,0.793743782573276
0.3814726339446174,0.8055278261502584
0.3804158965746562,0.8104850649833679
0.3799188666873508,0.8089860942628647
0.3791744112968445,0.8041583167182075
0.37699800067477757,0.818554335170322
0.3767850663926866,0.8154543572001987
0.3756346238984002,0.8220147093137106
0.3751720256275601,0.8199440704451667
0.37465176979700726,0.8205035924911499
0.3739399446381463,0.8239975372950236
0.37287237909105087,0.8293610347641838
0.37247443861431545,0.8288139965799118
0.37130516105228006,0.8338091837035284
0.37118623654047656,0.8362316422992282
0.3694148659706116,0.8480893241034614
0.3697754078441196,0.8432533939679464
0.3704245487848918,0.8315314451853434
0.36990011400646633,0.8333730234040153
0.36965779463450116,0.8320183224148221
0.3690963784853618,0.8359874222013685
0.3676945037311978,0.847087542215983
0.36782352791892153,0.8433740072780185
0.36790486839082504,0.8408158156606886
0.36782364050547284,0.8401829070515103
0.3669394784503513,0.842823949125078
0.368250568707784,0.8307111793094211
0.3647509945763482,0.8614935013982986
0.36617471112145317,0.8479794727431403
